model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,game_condition,role,eta,gamma,beta_ct,beta
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_11,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.0,0.0
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_11,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.11,0.11
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_12,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.5333,,0.3913,0.3913
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_12,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.6447,0.5767,0.5767
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_13,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.1033,0.1033
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_13,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.1167,0.1167
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_14,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.4667,,0.5367,0.5367
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_14,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,-0.0714,0.48,0.48
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_15,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.0647,0.0647
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_15,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.07,0.07
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_16,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.2,,0.49,0.49
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_16,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.2722,0.3267,0.3267
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_17,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.0533,0.0533
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_17,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.1067,0.1067
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_18,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.6667,,0.5333,0.5333
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_18,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,0.189,0.52,0.52
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_19,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.1133,0.1133
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_19,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.11,0.11
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_2,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.4667,,0.4833,0.4833
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_2,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.378,0.52,0.52
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_20,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,sender,1.0,,0.2,0.2
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_20,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,,0.2033,0.2033
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_21,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.0,0.0
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_21,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.0873,0.0873
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_22,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.6,,0.4,0.4
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_22,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,1.0,0.522,0.522
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_23,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.114,0.114
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_23,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0113,0.0113
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_24,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,1.0,,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_24,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,,1.0,1.0
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_25,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.1,0.1
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_25,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.0787,0.0787
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_26,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.5333,,0.49,0.49
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_26,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.3393,0.5353,0.5353
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_27,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.0253,0.0253
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_27,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.016,0.016
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_28,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.5333,,0.57,0.57
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_28,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.7638,0.5367,0.5367
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_29,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.03,0.03
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_29,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.04,0.04
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_3,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.0333,0.0333
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_3,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.07,0.07
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_30,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.8,,0.48,0.48
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_30,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,0.0754,0.4933,0.4933
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_31,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.082,0.082
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_31,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.0673,0.0673
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_32,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.5333,,0.5267,0.5267
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_32,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,0.0714,0.5133,0.5133
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_33,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.1767,0.1767
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_33,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.1367,0.1367
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_34,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.6667,,0.6067,0.6067
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_34,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,-0.1066,0.71,0.71
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_35,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.076,0.076
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_35,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.0667,0.0667
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_36,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.8667,,0.35,0.35
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_36,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,0.5547,0.7667,0.7667
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_4,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.2667,,0.6067,0.6067
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_4,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.8528,0.37,0.37
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_5,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.0333,0.0333
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_5,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_6,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.4,,0.53,0.53
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_6,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,1.0,0.3667,0.3667
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_7,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.0133,0.0133
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_7,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.082,0.082
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_8,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.5333,,0.5467,0.5467
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_8,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,0.2182,0.4967,0.4967
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_9,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.08,0.08
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_113515_9,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.014,0.014
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_1,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.0873,0.0873
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_1,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.1333,0.1333
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_10,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.2667,,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_10,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.2132,0.4,0.4
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_11,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.016,0.016
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_11,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.1433,0.1433
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_12,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.5333,,0.56,0.56
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_12,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.2004,0.55,0.55
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_13,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.0473,0.0473
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_13,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.0847,0.0847
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_14,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.6667,,0.48,0.48
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_14,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,0.2887,0.5233,0.5233
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_15,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.0693,0.0693
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_15,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.0973,0.0973
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_16,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.4667,,0.4467,0.4467
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_16,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,0.0546,0.5233,0.5233
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_17,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.12,0.12
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_17,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.18,0.18
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_18,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.3333,,0.5533,0.5533
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_18,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,-0.2,0.4633,0.4633
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_19,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.1933,0.1933
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_19,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.1267,0.1267
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_2,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.9333,,0.2587,0.2587
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_2,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,1.0,0.3007,0.3007
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_20,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,sender,1.0,,0.1467,0.1467
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_20,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,,0.1633,0.1633
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_21,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.0,0.0
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_21,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.2387,0.2387
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_22,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.3333,,0.5233,0.5233
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_22,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,-0.2887,0.5333,0.5333
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_23,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_23,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0133,0.0133
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_24,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,1.0,,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_24,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,,0.0667,0.0667
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_25,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.0667,0.0667
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_25,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.0993,0.0993
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_26,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.4,,0.5033,0.5033
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_26,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.0546,0.48,0.48
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_27,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.0253,0.0253
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_27,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0067,0.0067
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_28,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.4,,0.5233,0.5233
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_28,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.1111,0.3733,0.3733
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_29,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.0533,0.0533
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_29,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0333,0.0333
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_3,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.1133,0.1133
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_3,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.074,0.074
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_30,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.4667,,0.5167,0.5167
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_30,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.3273,0.4567,0.4567
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_31,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.1087,0.1087
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_31,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.0753,0.0753
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_32,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.4667,,0.5267,0.5267
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_32,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,0.2182,0.4433,0.4433
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_33,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.0667,0.0667
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_33,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.2033,0.2033
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_34,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.9333,,0.4133,0.4133
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_34,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,0.1612,0.67,0.67
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_35,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.1,0.1
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_35,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.1167,0.1167
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_36,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.8,,0.42,0.42
