model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,role,eta_pooled,eta_aligned,eta_misaligned,delta_eta,gamma_mis,beta_ct
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.5013
GPT-4o,ct_cheap_talk_results_human_prior_20260520_193215_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.4667
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260520_193215_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.016
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.491,0.22
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260520_193215_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.5967
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.4,,,,-0.491,0.522
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.17
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260520_193215_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,0.0
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.6487
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260520_193215_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,1.0
Claude Opus,ct_cheap_talk_results_human_prior_20260520_193215_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.47
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.4667,,,,0.3393,0.5067
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.1607
Claude Opus,ct_cheap_talk_results_human_prior_20260520_193215_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,0.0667
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.2047
Claude Opus,ct_cheap_talk_results_human_prior_20260520_193215_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,0.136
Claude Sonnet,ct_cheap_talk_results_human_prior_20260520_193215_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.066
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,0.1111,0.22
Claude Sonnet,ct_cheap_talk_results_human_prior_20260520_193215_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.48
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.4,,,,0.1111,0.5047
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.17
Claude Sonnet,ct_cheap_talk_results_human_prior_20260520_193215_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,0.086
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.3487
Claude Sonnet,ct_cheap_talk_results_human_prior_20260520_193215_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,0.2613
GPT-4o,ct_cheap_talk_results_human_prior_20260520_193215_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.3333,0.6667,,0.1
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260520_193215_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.7559,0.22
Claude Opus,ct_cheap_talk_results_human_prior_20260603_143105_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.4667,0.5333,,0.1033
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,0.3273,0.22
GPT-4o,ct_cheap_talk_results_human_prior_20260603_143105_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.1333,1.0,0.1333,0.8667,,0.5267
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.1333,,,,-0.6504,0.322
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.17
GPT-4o,ct_cheap_talk_results_human_prior_20260603_143105_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.11
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.522
GPT-4o,ct_cheap_talk_results_human_prior_20260603_143105_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.4733
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_143105_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.6667,0.3333,,0.0
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,0.1,0.22
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_143105_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.6667,1.0,0.6667,0.3333,,0.52
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.6667,,,,0.1,0.474
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.17
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_143105_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,0.0
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.6827
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_143105_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,1.0
Claude Opus,ct_cheap_talk_results_human_prior_20260603_143105_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.5067
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.4667,,,,0.3273,0.5353
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.17
Claude Opus,ct_cheap_talk_results_human_prior_20260603_143105_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,0.0573
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.372
Claude Opus,ct_cheap_talk_results_human_prior_20260603_143105_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,0.2107
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_143105_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.058
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.5774,0.22
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_143105_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.6,1.0,0.6,0.4,,0.4967
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.6,,,,-0.5774,0.5787
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.2733
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_143105_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,0.1913
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.4653
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_143105_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,0.27
GPT-4o,ct_cheap_talk_results_human_prior_20260603_143105_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.1333,0.8667,,0.0867
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_143105_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.6504,0.4173
Claude Opus,ct_cheap_talk_results_human_prior_20260603_152151_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.6667,0.3333,,0.0907
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.2887,0.4733
GPT-4o,ct_cheap_talk_results_human_prior_20260603_152151_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.5333,1.0,0.5333,0.4667,,0.6367
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.5333,,,,-0.3393,0.564
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,0.7333,0.7333,1.0,-0.2667,,0.2993
GPT-4o,ct_cheap_talk_results_human_prior_20260603_152151_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,0.7333,,,,,0.4787
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,1.0,0.7333,1.0,-0.2667,,0.6667
GPT-4o,ct_cheap_talk_results_human_prior_20260603_152151_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.6393
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_152151_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.5333,0.4667,,0.0133
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.0546,0.306
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_152151_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.5333,1.0,0.5333,0.4667,,0.5513
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.5333,,,,-0.0546,0.5287
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.6667,0.6667,0.7333,-0.0666,,0.3147
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_152151_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.6667,,,,-0.6447,0.466
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.7333,0.6667,0.7333,-0.0666,,0.6153
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_152151_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.7333,,,,-0.6447,0.7333
Claude Opus,ct_cheap_talk_results_human_prior_20260603_152151_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.6667,1.0,0.6667,0.3333,,0.5067
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.6667,,,,-0.2887,0.5327
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,0.6,0.6,0.6667,-0.0667,,0.4287
Claude Opus,ct_cheap_talk_results_human_prior_20260603_152151_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,0.6,,,,0.866,0.538
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,0.6667,0.6,0.6667,-0.0667,,0.4167
Claude Opus,ct_cheap_talk_results_human_prior_20260603_152151_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,0.6667,,,,0.866,0.5133
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_152151_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.2667,0.7333,,0.064
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.8528,0.22
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_152151_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.2667,1.0,0.2667,0.7333,,0.67
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.2667,,,,-0.8528,0.462
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,0.9333,0.9333,0.8,0.1333,,0.1813
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_152151_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,0.9333,,,,0.6124,0.1487
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,0.8,0.9333,0.8,0.1333,,0.3927
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_152151_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,0.8,,,,0.6124,0.5033
GPT-4o,ct_cheap_talk_results_human_prior_20260603_152151_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.5333,0.4667,,0.14
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_152151_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.3393,0.22
Claude Opus,ct_cheap_talk_results_human_prior_20260603_155949_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.8,0.2,,0.0633
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,0.2004,0.22
GPT-4o,ct_cheap_talk_results_human_prior_20260603_155949_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.6,1.0,0.6,0.4,,0.4433
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.6,,,,-0.6001,0.538
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,0.5333,0.5333,1.0,-0.4667,,0.5067
GPT-4o,ct_cheap_talk_results_human_prior_20260603_155949_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,0.5333,,,,,0.5567
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,1.0,0.5333,1.0,-0.4667,,0.3613
GPT-4o,ct_cheap_talk_results_human_prior_20260603_155949_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.32
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_155949_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.2667,0.7333,,0.0
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.1846,0.22
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_155949_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.2667,1.0,0.2667,0.7333,,0.504
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.2667,,,,-0.1846,0.542
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.5333,0.5333,1.0,-0.4667,,0.5993
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_155949_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.5333,,,,,0.4827
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,0.5333,1.0,-0.4667,,0.3333
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_155949_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,1.0
Claude Opus,ct_cheap_talk_results_human_prior_20260603_155949_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.8,1.0,0.8,0.2,,0.5167
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.8,,,,0.2004,0.4673
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,0.6,0.6,1.0,-0.4,,0.474
Claude Opus,ct_cheap_talk_results_human_prior_20260603_155949_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,0.6,,,,,0.488
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,1.0,0.6,1.0,-0.4,,0.2867
Claude Opus,ct_cheap_talk_results_human_prior_20260603_155949_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,0.142
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_155949_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.5333,0.4667,,0.0793
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.4643,0.1993
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_155949_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.5333,1.0,0.5333,0.4667,,0.462
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.5333,,,,-0.4643,0.5333
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.304
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_155949_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,0.1393
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.3307
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_155949_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,0.2427
GPT-4o,ct_cheap_talk_results_human_prior_20260603_155949_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.0967
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_155949_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.6001,0.22
Claude Opus,ct_cheap_talk_results_human_prior_20260603_185203_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.7333,0.2667,,0.092
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,0.5641,0.1127
GPT-4o,ct_cheap_talk_results_human_prior_20260603_185203_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.3333,1.0,0.3333,0.6667,,0.6033
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.3333,,,,-0.533,0.3667
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.4667,0.5333,,0.0953
GPT-4o,ct_cheap_talk_results_human_prior_20260603_185203_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,-0.6614,0.14
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.41
GPT-4o,ct_cheap_talk_results_human_prior_20260603_185203_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,0.4667,,,,-0.6614,0.5333
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_185203_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.0
